Chrom	start	end	identifier	mean_signal	numsamples	summit	core_start	core_end	component	position
chr4	149999617	149999780	4.809719	1.64123371770335	418	149999690	149999670.0	149999710.0	Neural	149999690
chr1	157691400	157691596	1.67001	1.09290727570332	391	157691490	157691450.0	157691530.0	Neural	157691490
chr18	11154480	11154642	18.224981	1.20220844702842	387	11154570	11154550.0	11154590.0	Neural	11154570
chr21	28051671	28051860	21.64047	0.886450948825065	383	28051790	28051742.0	28051858.0	Neural	28051790
chr12	20646360	20646540	12.239485	0.814268057783641	379	20646450	20646430.0	20646490.0	Neural	20646450
chr12	24779019	24779183	12.26742	1.04585312698413	378	24779110	24779070.0	24779110.0	Neural	24779110
chr8	41944240	41944401	8.36014	0.799738449468085	376	41944310	41944310.0	41944350.0	Neural	41944310
chr7	104272898	104273060	7.688698	0.736392158176944	373	104272970	104272950.0	104272990.0	Neural	104272970
chr17	75032440	75032640	17.910752	2.2447308773842	367	75032550	75032510.0	75032570.0	Neural	75032550
chr4	89658024	89658220	4.524263	0.732610891008174	367	89658130	89658090.0	89658150.0	Neural	89658130
chr12	20601796	20601963	12.239151	0.94092675890411	365	20601870	20601850.0	20601910.0	Neural	20601870
chr4	100421480	100421662	4.575108	0.778320450549451	364	100421570	100421550.0	100421610.0	Neural	100421570
chr3	31610822	31611000	3.24357	0.750686529247911	359	31610910	31610890.0	31610930.0	Neural	31610910
chr3	15815823	15816000	3.171842	1.60233408123249	357	15815910	15815890.0	15815930.0	Neural	15815910
chr2	56009880	56010040	2.3081477	1.01179657714286	350	56009950	56009930.0	56009990.0	Neural	56009950
chr10	15725818	15725980	10.20581	1.21383763583815	346	15725890	15725850.0	15725910.0	Neural	15725890
chr4	40054580	40054842	4.289555	0.935519501547988	323	40054730	40054570.0	40054828.0	Neural	40054730
chr7	144513459	144513620	7.916076	1.26380459006211	322	144513530	144513510.0	144513570.0	Neural	144513530
chr8	80052577	80052740	8.596295	0.951981128526646	319	80052670	80052629.0	80052670.0	Neural	80052670
chr5	24110120	24110285	5.219576	0.590001153054662	311	24110210	24110185.0	24110230.0	Neural	24110210
chr3	180595060	180595240	3.919661	0.882566314935065	308	180595150	180595130.0	180595170.0	Neural	180595150
chr4	150217366	150217540	4.810769	1.65060877740864	301	150217450	150217410.0	150217490.0	Neural	150217450
chr7	18570980	18571157	7.20479	1.03648853846154	299	18571070	18571050.0	18571090.0	Neural	18571070
chr21	16587159	16587363	21.419625	1.87116063220339	295	16587270	16587230.0	16587330.0	Neural	16587270
chr8	81996440	81996601	8.608391	0.784238486394558	294	81996530	81996490.0	81996550.0	Neural	81996530
chr7	118352960	118353140	7.768344	0.735300241156463	294	118353050	118353030.0	118353070.0	Neural	118353050
chr2	29281640	29281840	2.208818	1.67037717808219	292	29281730	29281710.0	29281770.0	Neural	29281730
chr2	155223900	155224062	2.676778	0.534653971917808	292	155223970	155223970.0	155224010.0	Neural	155223970
chr17	16486600	16486840	17.278323	2.37105563230241	291	16486730	16486650.0	16486790.0	Neural	16486730
chr4	154333084	154333380	4.8301757	1.07608284805654	283	154333230	154333090.0	154333310.0	Neural	154333230
chr8	130514340	130514540	8.909178	3.23425385460993	282	130514450	130514350.0	130514490.0	Neural	130514450
chr10	127715900	127716060	10.958888	0.673487985714286	280	127715990	127715970.0	127716010.0	Neural	127715990
chr7	134943900	134944062	7.8620789	0.903917072463768	276	134943990	134943970.0	134944010.0	Neural	134943990
chr17	35801593	35801801	17.48697	3.89828548540146	274	35801690	35801670.0	35801793.0	Neural	35801690
chr11	3000520	3000703	11.1200704	2.21465978810409	269	3000610	3000570.0	3000670.0	Neural	3000610
chr2	208407796	208407980	2.87437	0.691554517910448	268	208407890	208407850.0	208407910.0	Neural	208407890
chr3	125281080	125281249	3.668608	1.59262407509434	265	125281170	125281130.0	125281190.0	Neural	125281170
chr2	230885900	230886100	2.957885	2.61591682889734	263	230886010	230885970.0	230886019.0	Neural	230886010
chr7	117072700	117072889	7.761144	1.84060473003802	263	117072810	117072770.0	117072850.0	Neural	117072810
chr4	165398660	165398835	4.882564	1.93838043100775	258	165398730	165398710.0	165398770.0	Neural	165398730
chr14	103594400	103594643	14.97082	2.29461745736434	258	103594530	103594450.0	103594570.0	Neural	103594530
