Chrom	start	end	identifier	mean_signal	numsamples	summit	core_start	core_end	component	position
chr17	42678020	42678246	17.561329	3.12122043087558	434	42678130	42678090.0	42678190.0	Stromal B	42678130
chr9	35096140	35096382	9.328191	3.11089717169374	431	35096270	35096210.0	35096330.0	Stromal B	35096270
chr19	49198960	49199130	19.855144	1.25261940139211	431	49199050	49199030.0	49199070.0	Stromal B	49199050
chr2	174697300	174697480	2.749145	1.3176325	430	174697390	174697350.0	174697410.0	Stromal B	174697390
chr11	64226140	64226340	11.527923	3.60035932093023	430	64226230	64226210.0	64226250.0	Stromal B	64226230
chr3	49803100	49803340	3.3260713	2.55729088811189	429	49803230	49803190.0	49803270.0	Stromal B	49803230
chr12	53252003	53252220	12.4596729	2.2631384953271	428	53252110	53252050.0	53252170.0	Stromal B	53252110
chr16	87635580	87635760	16.97292	1.05449479205607	428	87635670	87635650.0	87635710.0	Stromal B	87635670
chr14	59444318	59444500	14.59969	1.29663179812207	426	59444410	59444370.0	59444430.0	Stromal B	59444410
chr3	197750580	197750788	3.997534	1.51985584235294	425	197750690	197750642.0	197750750.0	Stromal B	197750690
chr7	107879479	107879640	7.709169	1.31205587264151	424	107879570	107879530.0	107879590.0	Stromal B	107879570
chr1	226064900	226065062	1.917139	1.49480883490566	424	226064990	226064970.0	226064990.0	Stromal B	226064990
chr12	10190897	10191060	12.168873	1.45843649408983	423	10190970	10190970.0	10190990.0	Stromal B	10190970
chr17	78314260	78314500	17.946395	2.52942204976303	422	78314370	78314310.0	78314450.0	Stromal B	78314370
chr17	8125620	8125840	17.187815	2.71218761137441	422	8125730	8125690.0	8125750.0	Stromal B	8125730
chr6	132823080	132823241	6.799838	1.5091813064133	421	132823150	132823150.0	132823170.0	Stromal B	132823150
chr1	157156100	157156261	1.668065	1.80339612589074	421	157156190	157156170.0	157156210.0	Stromal B	157156190
chr5	140363299	140363466	5.795876	1.90712299285714	420	140363370	140363350.0	140363390.0	Stromal B	140363370
chr10	97714060	97714301	10.756991	1.96118865238095	420	97714190	97714150.0	97714270.0	Stromal B	97714190
chr5	177005839	177006005	5.977503	1.65514539856802	419	177005930	177005890.0	177005970.0	Stromal B	177005930
chr2	85437640	85437820	2.4174667	3.05413179952267	419	85437730	85437710.0	85437770.0	Stromal B	85437730
chr1	32500783	32501040	1.2174529	1.26116428947368	418	32500910	32500839.0	32501030.0	Stromal B	32500910
chr7	74270037	74270206	7.5193696	2.3464658057554	417	74270130	74270070.0	74270150.0	Stromal B	74270130
chr1	154961680	154961883	1.6601542	2.61839904316547	417	154961790	154961730.0	154961822.0	Stromal B	154961790
chr4	52712858	52713063	4.34943	1.51546073076923	416	52712970	52712898.0	52713030.0	Stromal B	52712970
chr9	91423299	91423520	9.6944764	1.54058246634615	416	91423410	91423330.0	91423470.0	Stromal B	91423410
chr1	221435520	221435721	1.9004414	1.58539078554217	415	221435630	221435590.0	221435710.0	Stromal B	221435630
chr1	921159	921321	1.103321	2.46589262891566	415	921250	921210.0	921270.0	Stromal B	921250
chr16	2153600	2153800	16.121586	2.2354262746988	415	2153690	2153670.0	2153730.0	Stromal B	2153690
chr6	44096821	44097000	6.3323662	2.02400937590361	415	44096910	44096890.0	44096930.0	Stromal B	44096910
chr6	147506718	147506900	6.8771605	1.27497620722892	415	147506810	147506770.0	147506830.0	Stromal B	147506810
chr17	75270437	75270647	17.913453	1.84604826086957	414	75270530	75270490.0	75270590.0	Stromal B	75270530
chr6	30647675	30647900	6.261471	1.47158851690821	414	30647790	30647730.0	30647850.0	Stromal B	30647790
chr2	197012140	197012320	2.832079	1.01405415700483	414	197012230	197012210.0	197012250.0	Stromal B	197012230
chr6	135181140	135181344	6.8122706	1.8309874503632	413	135181250	135181190.0	135181310.0	Stromal B	135181250
chr17	45149240	45149440	17.58805	3.57818500242131	413	45149330	45149310.0	45149370.0	Stromal B	45149330
chr13	97344637	97344804	13.8658996	1.30331488861985	413	97344730	97344690.0	97344741.0	Stromal B	97344730
chr5	160199457	160199643	5.894176	1.43239139951574	413	160199550	160199530.0	160199610.0	Stromal B	160199550
chr2	222903720	222903893	2.928235	1.1404807409201	413	222903810	222903790.0	222903830.0	Stromal B	222903810
