Chrom	start	end	identifier	mean_signal	numsamples	summit	core_start	core_end	component	position
chr7	13742840	13743003	7.177616	0.999782907582938	422	13742930	13742890.0	13742970.0	Renal / cancer	13742930
chr18	7022359	7022522	18.178559	1.20426789948718	390	7022430	7022410.0	7022470.0	Renal / cancer	7022430
chr1	161647655	161647840	1.684268	0.683874911227154	383	161647750	161647710.0	161647790.0	Renal / cancer	161647750
chr5	36414916	36415080	5.280578	1.15681760732984	382	36414990	36414970.0	36415050.0	Renal / cancer	36414990
chr10	70387637	70387824	10.573284	2.40586927513228	378	70387730	70387670.0	70387770.0	Renal / cancer	70387730
chr1	224357451	224357623	1.910996	1.20813104232804	378	224357530	224357450.0	224357570.0	Renal / cancer	224357530
chr6	89598114	89598301	6.572064	1.07755998677249	378	89598210	89598150.0	89598250.0	Renal / cancer	89598210
chr4	181569660	181569840	4.959075	0.723466058355438	377	181569750	181569718.0	181569802.0	Renal / cancer	181569750
chr13	35818658	35818822	13.38189	0.859846997340426	376	35818750	35818710.0	35818770.0	Renal / cancer	35818750
chr8	38938478	38938730	8.3414928	5.10030270460705	369	38938590	38938550.0	38938690.0	Renal / cancer	38938590
chr6	154615638	154615820	6.914598	1.93229663013699	365	154615730	154615690.0	154615810.0	Renal / cancer	154615730
chr17	75096212	75096425	17.911513	4.25684815277778	360	75096330	75096230.0	75096370.0	Renal / cancer	75096330
chr7	50963037	50963265	7.387696	2.565551825	360	50963150	50963050.0	50963210.0	Renal / cancer	50963150
chr7	50812940	50813114	7.386878	2.26036177715877	359	50813030	50813010.0	50813050.0	Renal / cancer	50813030
chr20	41078440	41078622	20.673338	1.24512454341737	357	41078530	41078490.0	41078570.0	Renal / cancer	41078530
chr5	36178100	36178261	5.279412	0.828473107042254	355	36178190	36178150.0	36178210.0	Renal / cancer	36178190
chr14	34713739	34714040	14.391818	1.5215138079096	354	34713890	34713774.0	34714030.0	Renal / cancer	34713890
chr1	212514099	212514294	1.868155	1.81308533427762	353	212514190	212514150.0	212514270.0	Renal / cancer	212514190
chr10	46720520	46720595	10.41413	0.53988439002849	351	46720590	46720570.0	46720590.0	Renal / cancer	46720590
