Chrom	Start	End	hg19_Chromosome	hg19_Start	hg19_End	Peak_Name	Normalized Peak Score	GC Content	Annotation	Distance To Nearest TSS	Gene Symbol	position	mean_mapability	mannwhitneyu_p	ER_pos_median	ER_neg_median	mw_FDR	neg_log2_mw_FDR	log2_FC
chr8	86239102	86239603	chr8	87251331.0	87251832.0	BRCA_100000	4.752330942	0.411177645	Intron	-8972	SLC7A13	86239352	0.9733999998778105	7.326254934717805e-07	1.5937093158759574	-0.2549398304634475	2.7565832206177452e-05	15.146759317716592	1.848649146339405
chr8	86242935	86243436	chr8	87255164.0	87255665.0	BRCA_100001	2.13398132	0.309381238	Intron	-12805	SLC7A13	86243185	0.9635000003471972	5.767914979658893e-06	0.5417235213414853	-0.465601322634888	9.356445872627455e-05	13.38367986083312	1.0073248439763733
chr8	86243600	86244101	chr8	87255829.0	87256330.0	BRCA_100002	5.995818493	0.4770459079999999	Intron	-13470	SLC7A13	86243850	0.9648000003233552	0.0003037140799005463	0.7957539344968731	-0.1710630207010346	0.0016403691624982506	9.251763757031005	0.9668169551979078
chr8	86257422	86257923	chr8	87269651.0	87270152.0	BRCA_100003	4.428145071	0.333333333	Intron	-27292	SLC7A13	86257672	0.9994999998927117	2.287509336439474e-06	1.2241733648555781	-0.0791201297521524	5.19355011710103e-05	14.232919426138185	1.3032934946077306
chr8	86258510	86259011	chr8	87270739.0	87271240.0	BRCA_100004	8.986320912	0.389221557	Intron	-28380	SLC7A13	86258760	0.9989999997854232	3.5473357318983665e-07	2.5492620154459047	0.1600777581822819	1.9388564190187886e-05	15.654434505050551	2.3891842572636226
chr8	86259159	86259660	chr8	87271388.0	87271889.0	BRCA_100005	1.408861934	0.367265469	Intron	-29029	SLC7A13	86259409	0.9989999997854232	8.680105259467573e-06	1.1197528728357047	-0.0294583306814828	0.0001225917532383323	12.993850447521796	1.1492112035171875
chr8	86259938	86260439	chr8	87272167.0	87272668.0	BRCA_100006	1.619636646	0.4411177639999999	Intron	-29808	SLC7A13	86260188	0.9989999997854232	0.00048255623872756813	0.7488434858294175	0.1912554660304785	0.0023497057190408088	8.73330420202734	0.557588019798939
chr8	86260754	86261255	chr8	87272983.0	87273484.0	BRCA_100007	1.890437912	0.469061876	Intron	-30624	SLC7A13	86261004	0.9989999997854232	3.8394169596685754e-05	1.163633309790769	0.0997998558057295	0.00034794792506721064	11.488840975397771	1.0638334539850394
chr8	86262292	86262793	chr8	87274521.0	87275022.0	BRCA_100008	2.076622467	0.413173653	Intron	-32162	SLC7A13	86262542	0.9970999997973442	2.0793193887345214e-05	0.9723536229266367	-0.134479352062937	0.00022479682830104853	12.119090699091272	1.1068329749895738
chr8	86287848	86288349	chr8	87300077.0	87300578.0	BRCA_100010	2.309137529	0.393213573	Intron	33047	SLC7A13	86288098	0.9814999998398124	0.0020023846173009186	0.8537748732189505	-0.1174736689515575	0.007269849520197922	7.103858782788339	0.971248542170508
