seqnames	start	end	width	strand	Median
chr1	1	1000000	1000000	*	NA
chr1	1000001	2000000	1000000	*	NA
chr1	2000001	3000000	1000000	*	NA
chr1	3000001	4000000	1000000	*	0.314664293061617
chr1	4000001	5000000	1000000	*	0.29839970218273
chr1	5000001	6000000	1000000	*	0.22335639166451
chr1	6000001	7000000	1000000	*	0.0561202828216355
chr1	7000001	8000000	1000000	*	0.158416562347466
chr1	8000001	9000000	1000000	*	-0.0791472407146373
chr1	9000001	10000000	1000000	*	0.0281081159723859
chr1	10000001	11000000	1000000	*	-0.0103672518876397
chr1	11000001	12000000	1000000	*	0.144806241333371
chr1	12000001	13000000	1000000	*	NA
chr1	13000001	14000000	1000000	*	NA
chr1	14000001	15000000	1000000	*	0.20799372184878
chr1	15000001	16000000	1000000	*	0.0647322260209846
chr1	16000001	17000000	1000000	*	NA
chr1	17000001	18000000	1000000	*	0.193055952595775
chr1	18000001	19000000	1000000	*	0.319677781102696
chr1	19000001	20000000	1000000	*	0.04768107267867
chr1	20000001	21000000	1000000	*	0.0683192813304706
chr1	21000001	22000000	1000000	*	0.0325762995418996
chr1	22000001	23000000	1000000	*	0.271735779470849
chr1	23000001	24000000	1000000	*	-0.0646413054760057
chr1	24000001	25000000	1000000	*	0.00417921168487276
chr1	25000001	26000000	1000000	*	0.0203273468424644
chr1	26000001	27000000	1000000	*	-0.0141155237509312
chr1	27000001	28000000	1000000	*	-0.0532264082349761
chr1	28000001	29000000	1000000	*	-0.215631392133461
chr1	29000001	30000000	1000000	*	NA
chr1	30000001	31000000	1000000	*	0.145686886612057
chr1	31000001	32000000	1000000	*	0.0234591088936903
chr1	32000001	33000000	1000000	*	-0.0582326592466686
chr1	33000001	34000000	1000000	*	0.185715255922549
chr1	34000001	35000000	1000000	*	0.22254455638664
chr1	35000001	36000000	1000000	*	-0.122420594523309
chr1	36000001	37000000	1000000	*	0.136001412295997
chr1	37000001	38000000	1000000	*	0.159106017242005
chr1	38000001	39000000	1000000	*	0.157890235752511
chr1	39000001	40000000	1000000	*	-0.0452297324995785
chr1	40000001	41000000	1000000	*	-0.0891147237606588
chr1	41000001	42000000	1000000	*	0.17739602445208
chr1	42000001	43000000	1000000	*	0.0200557521726889
chr1	43000001	44000000	1000000	*	0.118020103494962
chr1	44000001	45000000	1000000	*	-0.00745621688388396
chr1	45000001	46000000	1000000	*	-0.0766664016612573
chr1	46000001	47000000	1000000	*	0.108932876750974
chr1	47000001	48000000	1000000	*	0.18709989020401
chr1	48000001	49000000	1000000	*	0.189565952338952
chr1	49000001	50000000	1000000	*	0.077963774321403
chr1	50000001	51000000	1000000	*	0.0255333428301301
chr1	51000001	52000000	1000000	*	-0.0820329619858364
chr1	52000001	53000000	1000000	*	-0.0997879699647372
chr1	53000001	54000000	1000000	*	0.115420011309934
chr1	54000001	55000000	1000000	*	0.212437048554765
chr1	55000001	56000000	1000000	*	0.128746916587526
chr1	56000001	57000000	1000000	*	0.111829606337695
chr1	57000001	58000000	1000000	*	0.128020816020111
chr1	58000001	59000000	1000000	*	0.130194513358034
chr1	59000001	60000000	1000000	*	0.123009321679395
chr1	60000001	61000000	1000000	*	0.085715714158585
chr1	61000001	62000000	1000000	*	-0.0512510490424298
chr1	62000001	63000000	1000000	*	-0.0381204412534567
chr1	63000001	64000000	1000000	*	-0.00671340339637268
chr1	64000001	65000000	1000000	*	0.0375437279901545
chr1	65000001	66000000	1000000	*	-0.0151405160099258
chr1	66000001	67000000	1000000	*	0.0199836521371068
